requisite_id,course_number,requisite_number,course_x,course_y,requisite_x,requisite_y
90,404,420,5.65685800223381,5.6568504967484605,5.82028922107744,3.8889887352639327
91,405,316,2.678790461997209,6.467154061928073,2.3569877064461826,4.409604171766619
92,406,307,3.0614748137110963,7.391033213632084,0.49009189105062684,4.975923023754127
94,406,400,3.0614748137110963,7.391033213632084,3.2997827890246554,6.173445840473266
95,412,320,6.865497189311757,1.3656311154745873,4.157349443626742,2.777849096617095
96,412,322,6.865497189311757,1.3656311154745873,5.0,0.0
97,418,321,5.411075751274423,4.440749848164152,4.988819332352091,3.3334189159405136
98,419,418,6.184086572885056,5.075142683616173,5.411075751274423,4.440749848164152
99,420,321,5.82028922107744,3.8889887352639327,4.988819332352091,3.3334189159405136
100,421,420,6.651759109802788,4.444558554587352,5.82028922107744,3.8889887352639327
101,422,323,7.0,0.0,6.0,0.0
103,423,422,8.0,0.0,7.0,0.0
104,424,223,6.467157616127896,2.6787818814078452,3.0,0.0
106,424,227,6.467157616127896,2.6787818814078452,3.092043286442528,2.5375713418080865
108,425,424,7.391037275574738,3.061465007323252,6.467157616127896,2.6787818814078452
109,426,321,6.173450218602796,3.2997745981253157,4.988819332352091,3.3334189159405136
109,426,322,6.173450218602796,3.2997745981253157,5.0,0.0
110,427,426,7.055371678403196,3.771170969286075,6.173450218602796,3.2997745981253157
114,437,320,6.966293143601636,0.6861194046292896,4.157349443626742,2.777849096617095
114,437,322,6.966293143601636,0.6861194046292896,5.0,0.0
115,440,300,4.440757027547934,5.411069859305425,3.5355362513961315,3.535531560467788
116,440,320,4.440757027547934,5.411069859305425,4.157349443626742,2.777849096617095
117,441,340,-2.0319821867004233,6.698585551661796,-1.4514158476431596,4.784703965472711
118,442,220,-3.888981012930476,5.820294380962723,-2.121316121719932,2.121324565390951
119,443,223,6.698582855632305,2.0319910743477587,3.0,0.0
119,443,226,6.698582855632305,2.0319910743477587,2.4944096661760455,1.6667094579702568
120,444,220,-5.4110639673269,4.440764206923901,-2.121316121719932,2.121324565390951
122,450,301,4.444567380103481,6.651753212779326,3.8063631664696578,4.638059879404651
123,450,400,4.444567380103481,6.651753212779326,3.2997827890246554,6.173445840473266
124,462,361,1.3656402245800197,6.8654953773933185,0.9754573032714426,4.903925269566656
124,462,345,1.3656402245800197,6.8654953773933185,1.4514285442796564,4.784700113993586
